contract_index,version,tx_hash,parsed_result.custom_token_id,parsed_result.royalty_percent,parsed_result.url
2,s7_erc721_v2,05cbc8e2e898fc8b6eb55f02704d4bcef25f6668830498ecf0084073f345c23c,256033208007655432,0,ipfs://bafkreiefsijthnl7m5mtyl6wacgh62ozg7si5qyst5qkuhxb4ql7p7sc74
2,s7_erc721_v2,109fdb98049397d090a2bf757a88452acdf9a79fae2bd4f69025917d2c41cbf7,21466573650788365,2000,ipfs://bafkreic4arkr2udwyz6zdlj3uwcn76rl4sb57xdbfso2yuou7nix6xr4si
2,s7_erc721_v2,19af3c23150b84a9fe862427f5b8c72178d7dbb72a15a64e604d04f86236acf3,23989670073335821,4500,ipfs://bafkreidq75xeycuh43pfobnq3xyqffzpqqtwkbo2xtc5ryitigskon7dzq
2,s7_erc721_v2,1b4fecefd11c3d53c1d7fa9648fc6718375afd9b1c6b8b4e7fef90e61c07bf10,332494295581851657,500,ipfs://bafkreic46owduownsfntzlo2c5o26urhzczklp3s57ai4chsfyr2nlbv4e
2,s7_erc721_v2,1db36c9683b129fe1bc2c38da8be69cc3b87f2629c93a12179ca9d502591c96b,20785176804065293,1000,ipfs://bafkreictvtigxjlxns7pudksk2f5wkspzyknyjx4vrrasaf23v7hqk6cxe
2,s7_erc721_v2,1fff78aef7d94be40b8276e4e7b030b65f371ba9a1714d25cce99a018bb05b2a,15847863258972172,500,ipfs://bafkreifeafsgf3dhka2r4h2esueofpo7jn3crhdp66v5fvhwppiapnmqcu
2,s7_erc721_v2,2381fd707e1f7ceddfa067992ce89c6749023bb958c9efb142cb253347ed8440,128413332464992269,0,ipfs://bafkreifwdgi7e6wawdy2ihf3vie7v2gmo3xurxdcuimnt4tapuptybyat4
2,s7_erc721_v2,2fd5e8b456a4f43d37929678d7f7b8661bc7ad865030aafd9a217dd9313f91b7,46190991127871499,500,ipfs://bafkreicn5lfexq6o2hfoj45clcdgurdw5dpwk5op2bds7lp624azjtcccq
2,s7_erc721_v2,335ae4b0dcebb9b7358983f85eafef620293f1069b1eac8f7d6e715d6a918a66,300663625821978633,0,ipfs://bafkreihmrpfvuwaiyu74zlgi4nig4lhzwfdurqnrg5gdniuu4rrr34glzq
2,s7_erc721_v2,40219099e9b3c824701e7dd91b982eea4c517ae668b971a71b14ddaf0462eb90,132211060810711048,2500,ipfs://bafkreibd4tknygiyutnqip5e2nz3wcvnwszkff5tozgddsaazhwqua5eoi
2,s7_erc721_v2,4068dabf6c30acc1664c77cc932832f49a37139d03c75c7ffc8a82de23d1db43,305206245663440909,2000,ipfs://bafkreidficjgj3h2pfvmcaadzobw7osme2lpprxqnlnplz5oaqs5q7xhqe
2,s7_erc721_v2,42a947637e6f2b7ad89782bdbe8ffa0fbdb0b2789099cd4ddbcf5a4ea12742da,116247303496400909,1000,ipfs://bafkreiby52zuo7xo2pstvljngq5d6zvenlu6am3f6qezo7vuz7jtwz2hni
2,s7_erc721_v2,4f69ae884db0190853a82bd9b720cde92bf60def1c95b3a3233d535f7af2c2b1,205516116489928713,500,ipfs://bafkreid2x3734n26nlrugdargil64cae4xa5xuldhocgiu2ao5vnytrcue
2,s7_erc721_v2,524fd452d0855c6e07c4fa4f2db2570e15628912657ea2677158dfa6b548c855,20666718988795913,500,ipfs://bafkreihvilv5s6ztyv3qcoibdnfqbluegjwgjpxbbs3dsxvo7wxz3liyqq
2,s7_erc721_v2,5ac2396ac57f48c61cfaba88c1aadb0c5cfd9a155fabf97bea123d436efb9ef6,157649611459133453,2100,ipfs://bafkreiaiazufavhv4oad36fz4hr32yl72z2nzq4n2crkrgzvoiilxqspgy
2,s7_erc721_v2,5ae60782293b45ad09e8d96af652bf80a0c31d8726a99962df61c126c0e99ccf,116233688164859917,800,ipfs://bafkreigbcddzh3etm3utu764kqbcg4idefr6thmcbkmfqgq2pnuwtekwia
2,s7_erc721_v2,5c03174d21e5915268e6baaf71e26ee749219710d492d6851c9e896be74659ed,116116347443740685,600,ipfs://bafkreiehmrulh3qzfvc2ddiqc45ya5jbonbvqf3akrgqsa4ezclmqby42y
2,s7_erc721_v2,6094da00f4f048accaf17916c61b32b4ea77b18d94d34a3f8d7a2d6e78e02735,314628962988851212,1000,ipfs://bafkreihrhg3txhk3yogqqjah7fymyziavg7gyhf6xakh7mg65ahzxwdpbe
2,s7_erc721_v2,625e43740bb543044d70703f8c299940808ea40e6d2c01c3714fa1672393ce01,158144761243369485,500,ipfs://bafkreidonwqpxgmwserjiae6iwc4iqvc24qhmb6jyawx7pdciw4xbberny
2,s7_erc721_v2,6696ab58c235459cf69f430b0b38b255d7b53390f6c896e94719b2c144ce2469,93207442640338957,0,ipfs://bafkreibanyyeigygwmbu2j5anigohyjceqkda6pwy2mitk6k5r4crrjfbm
2,s7_erc721_v2,6c502f85caa1a3df1e14d8ffb32bd9d2976057174d0778ea0c4f0ba2627f4ef6,350544931569270795,0,ipfs://bafkreigw53crwbxb7ubczg5sysfw2iho7wdkjkaepav3muopif3uprwmnq
2,s7_erc721_v2,6e27fac876915d6721da289ca2ab5c48d75c6bb678b475ca3f503d8e3b0e8a48,128070473748578317,2300,ipfs://bafkreicavsx6yhcv322nngoqckwbid43kt7oifosky4dm3cinuqi4ypkqe
2,s7_erc721_v2,7789983437e67bbc2d50698a9bc5fcf0bf6acf353b651ac96f4c92f3b4b0a560,116718940817719309,1000,ipfs://bafkreihakeqzndlkobup7qoh7yupjnwudqdw2kx6azq4rlljshbjhiswnu
2,s7_erc721_v2,7b017bef94b5326dffdce80e7920b42fc3b322e65657b2e4659799353959bbe3,21675862508175373,1000,ipfs://bafkreifir2cbgp2v5msg7njbupkwnpwoow3ub3un7odi6r7lqtc64awlzi
2,s7_erc721_v2,7b5c422e798b2b4403b9cef0ebef6d1866ae5757e1b58b437909de30eac39a83,305907944485027853,2200,ipfs://bafkreiaayr4mhrvukhwkw7tludrbqlfhcb2eu7wg7rsys7e3dqmbeisu6q
2,s7_erc721_v2,83f7c253893d73348623548662ae4af2e4a02ba51479d11c897a9218a8931dbe,127468076634472461,1000,ipfs://bafkreifegzypxk2c2pl6fdjqby4lmzy7obf3ar3emwgkclkenkl3zfj5wi
2,s7_erc721_v2,85024b42c79ac4a487cde4953cd36685a3ba96d74f5eaa1cebceda2e472b57e1,213549159314096137,0,ipfs://bafkreifhg44y2egryx3zjx4g7kbqx6npt5f6svlpsg4ezz6rpjy27unefq
2,s7_erc721_v2,8765733baa87e5f0a50f4ad4975d0823ac8e5a56c4d4e0b0f1a355b0c4d4f386,213552116902395913,0,ipfs://bafkreidefo3nhf4l7ibiqmgvfh4bd2ewbs436nscfrwmpunnjsbogaapke
2,s7_erc721_v2,8771a64f20375469a198acf18fc6ab0f4ece6a46d22b3649399e81d72fcc73f8,313751081135898632,2000,ipfs://bafkreictvgir7t5p26wum7x4aun2hb5j4tuiswcuqirh4u5xcsmsnayjou
2,s7_erc721_v2,8b90d04f334e479bf4e671392af0c26980706b3346787ecfa0c6e5a843c72294,20983916164808717,0,ipfs://bafkreib6k4mawjfldx77ljymsielhoduhmxiza5gokmcpv55mxydr2bv3y
2,s7_erc721_v2,975638107131a9ce77983ef6189ed2862f0d4d9aca1ad2480f7233619e48a7c5,378134745403359241,800,ipfs://bafkreibq5kklxoclgrmlgpq3tqhf7ou57lsh4u2xgubr6a2ftti3bgovra
2,s7_erc721_v2,9761d6f5bca36a29a1daa21783f42ba9387329b0b151861d8f07c4f5b3d649eb,230568127228805132,1500,ipfs://bafkreide5rkfb4bpn66nn7ev4l2i4nwnxp5ncfstisf5okvml7q7ntolii
2,s7_erc721_v2,994198c0cad6917f59116599b0ff8b833d3d1a35d7885db0284490d37c045c88,23867247332163597,300,ipfs://bafkreihnr2kvxlqp72vlt7htaiezc6mb7bh26kro3kpzhlm74uxns3el3i
2,s7_erc721_v2,9d85afed1874d90f7338b51d92b2f1c299e0057be06a49aca93e1fb415ce6785,23876508640608269,300,ipfs://bafkreibiglszmijsmep2ddyzjdley5ecq333al3k7uylgkqdoix6t5z5hu
2,s7_erc721_v2,a186476c40fbca3407d2a30c6a17d1aba398c0d40346a4350d853e5495c90ee9,178742460611035148,1000,ipfs://bafkreifnokaq5wzbjyfusz3lm5ettw77qixvulbyhoz7kfpc2kkz4vaccy
2,s7_erc721_v2,a940895cb6fde8373df01d575a6b4da99eaf814bf65be5957458b68443e040d9,350439901986029577,0,ipfs://bafkreif2j3ws6z7bip32rclpc5l3gq3knbznd5qcqnxtdgm6rvg5wo4ija
2,s7_erc721_v2,be79c3c5fc4d230345870a97bded352211a956131ed7542a70a45f0db9fb464b,92792516553736205,0,ipfs://bafkreiarguxsks52fsyl6gtxa2vtovmmpygtkextfxldlx7ik3o52oeyga
2,s7_erc721_v2,c71529104cad5aff1f7d6ec9e568ba550a1846affca5cc8cc521540bd0120742,306458865862443021,600,ipfs://bafkreif6h7qhncbp7lzgmematx2k3ca36pdrgm33uk6ozxvn5tiwn3d2cm
2,s7_erc721_v2,cd441ebde32098b822d357bbb0a9d08185913664b8c3d037a14dc41ccab7652b,21428406474244109,4500,ipfs://bafkreifuosbntdsaz7lf5c7a23escdncwe72w6pge3ji3a6vdnkktpsfbi
2,s7_erc721_v2,cdd4b310e9bbc9a94e67c864d52fe9263061c920046a94bc77f2402533771818,60690022256345101,800,ipfs://bafkreialqlkjfeurfod2g7ovxpo26kxafoy2mepgsz4ia4z7evlsatef3u
2,s7_erc721_v2,f0f7c4c6073c758412e301a29c48194741adaaa6fd15ffeb15b9c3b4e2f4636b,269889164671975435,1000,ipfs://bafkreifnyzmzlrgvfj5rexfs6bn2d7dizfvyc7qlgly454noub56vl3xaq
2,s7_erc721_v2,f9c34b8b26c8e197c4457cabecc8dcc2b532ac782f0c335aeaf49e7015e180e5,24419731742130189,2000,ipfs://bafkreieq4qwco3ifumt6mjfefn5xiawt5btr42wyfcm2s27bonnx7sovse
2,s7_erc721_v2,ff8bd3b587ebfc91643a53bfc6f44ce75978867468f54787ee152a50c62d117a,46252238854684683,500,ipfs://bafkreigp64vooypav3vomtot2maegkqbu6t3ed7zzq4gwjzqlu6j4becuy
3,s7_erc721_v2,05cbc8e2e898fc8b6eb55f02704d4bcef25f6668830498ecf0084073f345c23c,256033208007655432,0,ipfs://bafkreiefsijthnl7m5mtyl6wacgh62ozg7si5qyst5qkuhxb4ql7p7sc74
3,s7_erc721_v2,1db36c9683b129fe1bc2c38da8be69cc3b87f2629c93a12179ca9d502591c96b,20785176804065293,1000,ipfs://bafkreictvtigxjlxns7pudksk2f5wkspzyknyjx4vrrasaf23v7hqk6cxe
3,s7_erc721_v2,8771a64f20375469a198acf18fc6ab0f4ece6a46d22b3649399e81d72fcc73f8,313751081135898632,2000,ipfs://bafkreictvgir7t5p26wum7x4aun2hb5j4tuiswcuqirh4u5xcsmsnayjou
